	W	Reject null hypothesis
6637f425ff07cd03e35383d471d4c722	6352	True
f66834eddb4ac2fa613d7dd7fd8daee5	6350	True
ce75a690c7a3a888d7479e833a24327d	6347	True
5589b170cdcb1ccfef45b13eb8e354e1	6344	True
b29db0ae70164cb542f4fe6ae5d7b8d3	6343	True
369a630d55bfa606fe3baefcf544c0d1	6342	True
2411968656b6bcc3e808be6b06cbf3c3	6341	True
96558f933afd27eedfd62ae322fbdc4b	6340	True
eb5ad2d404425b4cb1bef8ddb15eabb6	6340	True
70dfa9ec63ac45406010f0096b610e01	6339	True
9be366ca6b54097904a48d0431bdf79a	6338	True
cd01f7f1ef8770b2c9a940c94244d16a	6337	True
c3253d9ef96e38c48f19a70c45e06163	6335	True
0faea649247d038c599caacc039ffdf3	6333	True
7a7f05b006bbc2d3a62e36a6b0b36b68	6329	True
f4a21c112124c453b4b62a347139b7dd	6328	True
d58cb2d748cc3b6ad56a6886273f99ce	6326	True
09ead40e50df1034f489909177a96886	6324	True
2323ba4413520c994376cadfc383b703	6309	True
162c537a35c9bca237828b4206604fa8	6302	True
90f022ca342e5c559f407d5ddf30f037	6297	True
5ca0d0def990e16b9736d7ee81845cc9	6276	True
12950262a3aa8c569dafea6983b06052	6258	True
4878e4b8e45cceb21b88dc9d38ae9514	6231	True
673ad06b50cc98a2cfc451b18baa1e55	6207	True
fd03e0bb579daa9f3fe83529a3a5c186	6194	True
a9c8fa0312f883933a39fa8ff637740b	6193	True
d7378937f3070d8bd1fc23b8ae7d49d1	6191	True
81ef3b482e2d4aeccfaab4f970a31821	6191	True
473e7abc8cb307f6bc264619f6c6da9a	6183	True
b23612ae017493b04abf72da09e0134d	6180	True
a370dcbc4f0b16230ae6040c67df697f	6168	True
9e524f90dea32213ec3ce546a1dcb6c5	6167	True
eb8faf816d5c76307f6f5bd7f9515f1e	6165	True
df8d88036fd7aa053fd0ef2760401013	6164	True
1acb200674093f76384bc4301c1d6e48	6158	True
e5423339c81bcebd42fcec8d8eb4c9ea	6149	True
a5fc3c21911aee3089f08a45ac7db495	6148	True
4183856494c8ee22ba817643f584a98a	6123	True
a499313262036fa51454e42a37ae7715	6116	True
207e35bb04ccfa7b9a9b984d462f4104	6116	True
3285834de9d9c1457ea8da854ae8b5da	6105	True
7e968f558ccfdd1d2129f1263d854607	6104	True
42258823a65cb97b46597f492dc6307e	6102	True
2b9058f67b06854da39be788d63448f9	6100	True
f9725e80b83dea1f493cd2469f524bbb	6099	True
9c1a174b93b4ed56e839737ea799aec5	6093	True
c9b9f06aabfa1d5a0f85c557c4078079	6093	True
c4ed4b220998505b68f95dae284ab050	6093	True
cd3ed428da76b7e6c842f5fddb333d39	6084	True
51939d23faade188f63ef46b4ca63702	6084	True
4f997ff4c5da4ebf8c5387b9161e8445	6072	True
7366868ca66aef15744b1de6e9fd227e	6066	True
3af23ee5e1028e0e576df7da39fff2ed	6063	True
2b69925844d2c580c133c139beb6bd23	6056	True
793b7f5dcea7b2c461e66c3f31f930bf	6055	True
f4185f216d78500a0cdca09e99bc1d6c	6050	True
2f04218013c4a65d450dee43e6bcf0fd	6049	True
986ac9135b007b113299d3c2af57d75f	6045	True
fff6706a91e726035e208e285aa866b8	6043	True
ac7e0e057c80a213dd8fc3a8fb4655d2	6040	True
1eb82fbd055faf87647804e7d5fd76b7	6036	True
f2754b8bd1936cdca415e554a2e5c01b	6034	True
d6c896963e7418f3e2832621cd75149b	6025	True
4cce1d9a5a3f460a7bbe148f2c27df6a	6023	True
bdf606f6f7a969aa76d8dde50706dd9d	6019	True
8bb770d1b478e8549984642479a0fbb8	6013	True
ee80f3b03e1b6d4772ef1b13ef1a04f4	6010	True
97477786a5429caf6271a7a0c307118f	6009	True
2a15892bcf4c857a0887a9c6afb60a68	6008	True
89163c52c58a8e4968c0e0f691c39274	5999	True
8c28635e15ad853b2639f26c19096c65	5995	True
8e9257c2df4ad35c9d1eca18b47922f1	5992	True
c5ad5a3160f90a560e4ce6d3170f3433	5985	True
8f1f3a1d9fdc3002db1058dfced4ec38	5985	True
b3871f4b91ae1050ad64304ddeb31cd5	5983	True
84ec87245b479702781cb5e0c4629c6e	5981	True
2ec93dd40c0dc529e8f0b0239be236af	5978	True
8dd3e1853cdf5e90520ca3d14c1a72e1	5976	True
7fe8fa3d2dc5aa9efed7c4eb924bde0c	5974	True
33d70ae08e9388ef31a15d0bda517341	5973	True
32725bf4c4af073f0d0c73820a3f29a3	5973	True
2ab3b440f31102dccbd8e73b43675163	5970	True
a825238bcda8e896a93462cc02e5738f	5962	True
a952731365b6957872238e3effdc79b4	5962	True
73fc1657325a2c0255f3825de5e9883c	5959	True
f7dd0851c5496cd8602362e321265ac2	5958	True
c2ca9085d626e2236ab23af87371db88	5956	True
da0465b461010bb80dda4d74590641e7	5950	True
494f92c9f58c271487c811874fecdb6a	5945	True
af917831e6c957bba1f2015cbc7b9ac9	5943	True
803122c48cb7920fca4f424589864341	5938	True
c66a2ea4213d2a01694d571f6728b4de	5937	True
6232398b7181b9ad41480a8feb9dd18e	5933	True
b6654aa90bbd08c1f33157bc36edb6f8	5928	True
99456a0d6e1dc4fd5aecc8ef9e4ed8a5	5915	True
c371bf14cbbdeb83ab20d83df0e9c2e0	5912	True
680296b94924924dadf1fbee78f53dcd	5900	True
65dd26e2df63d67552830b0c4e1d6f45	5894	True
7ed506c44ed2e3c9da27b39d95cbd776	5885	True
aae839504d8fb771a700ae9db92f5835	5881	True
c8c428550106acb484460394ecd8a45c	5878	True
174f9dd533bf932e678d5ee998392f44	5872	True
1488c613d579758612797cc4feff73e7	5865	True
4786a250912a55c94908894f65a0e8d2	5849	True
dee92bb0ea7c9b7ece6383cdc692c937	5827	True
4d753a8582ea0c66ab3a04fd865cb9c9	5826	True
d45a3cc17a29a93aba4088098665d491	5773	True
b6f3e56d9c74e0bbdf94027c3c8d3b98	5768	True
5745c45e8667292287d5084290842570	5764	True
5085789ad5ec349d2150586c443ae7f8	5624	False
32bd8d4b83a133066f78697fd7ac5ff9	5561	False
8fed2fba91bcb938aa3363a5a663acff	5525	False
eb4806aba444e7fed9d4b057bfdf94a5	5524	False
06346a1dcb8bca270320680cdc7bd3c0	5498	False
0cba201c05f7dd510522f55e3675a00e	5497	False
684f32add423c506e8d42de16a40cb56	5491	False
b4e601a294365475bce03fd82c5322ab	5474	False
ad58bdb00cd8b7fb45d83cbc63cc0af6	5447	False
4760200a31280e8404a357c8cd341614	5426	False
193ca2898e73a429cade8481d4b814ce	5414	False
2968cdf18d8e575fb53481ece7506538	5378	False
5a19174ed6861fddca4cae7203e321c0	5340	False
5a7c2f5bb88af874e9a63c0da3f2a475	5333	False
efae669be574705fcf3262efa3b58c17	5319	False
1afac822edc63f1f3676ef689619b123	5313	False
0b0690009d0bbaba763e1d6f27e21e2f	5165	False
725bb29534e0ba75fe6780fc87149588	5162	False
d47b83f4226171ad0052e8ed3b7d1690	5149	False
6d9e709995faeacc31bc90b8ae505b76	5050	False
5c3aed621cf8086801f5436b773ae3ca	5019	False
383057773997eb467046c47af8081199	4952	False
c4d41e30ead6754d33d573ed4c0559d5	4898	False
0325d2039500bc03afc4cc32dbdf629f	4820	False
0fb5764bacc1626099aef19604bff258	4815	False
57399f5c1e454af65bd2c15dcc0d3951	4652	False
94a1ac0104af337d271be4e7679a6049	4510	False
72144e0aa2d2bf9b76267145acbe1e3d	4496	False
515c626f091b45608ff4a20cc6c36d22	4478	False
07f659e8ce4e60861ec266c141933718	4460	False
f95b29fa2e97eeaeef557fd91aa1a014	4286	False
869afeafcfc3bef3820053658e7c06be	4119	False
e49a363655f0d73cf4130e84eaca0d7a	4098	False
c9cc3eb98b8cb7a02dd973a71b8e9e7d	4087	False
2bb681c8a1bd60b6694e060602d77ece	3985	False
4ef4c23e5bdbefb649f50cce1671f084	3947	False
ffa78287bdebe77098e8ab28c4694312	3927	False
c436e630bbb2a9e7869ce5ecd70d2786	3818	False
f7d20d164ff351a40cf253f874f080ad	3639	False
e4b154d984d8da796fa3a35d44287ab7	3615	False
e404f1762b1e79d8ad26c25090e35a9a	3268	False
238381b43911e0ff2e603ced2fe69b5a	3177	False
4ea5b5d8fa06e6b564b57c8992269feb	3174	False
feecf3378718429215b5afba45af0fab	3104	False
1665517c970783266d6c957e4f78adc8	2959	False
f7858552f3161faa393ab1cb3bcd97a0	2674	False
6520278ca0863f77b861ac19b9d1c43f	2655	False
f3f9db8879c85fd6e54f4b09640b982f	2639	False
d5dcb039c11b71efb9bcce7bced639a7	2479	False
586875bef6a65b917552935fd1e391f6	2458	False
75c0082eb7a8e458935b124a9bfeae11	2261	False
0c11cb78f21eb2dbf072d1fcaa9b53a8	2060	False
bee8f4bcbdf5f453cd3c3469b20bbf2e	2031	False
0ba7266003c081b235bdc30539a6a72d	2007	False
8814b3aee2cee145aa8b349454fffbce	1808	False
b68ad4e7eb692b02dfe10c4a24824898	1778	False
8a82dca16693d46f3fcb6aeed503c193	1714	False
3d44b1fa323a633f81d1ff7caa97f846	1442	False
ec652050028edca44c6a3e9e57e8c132	1266	False
b1da2330c6a5bf70bb42cc15660c097e	907	False
9298a7b110f7a5425d906bea7336a1d8	730	False
f9647a6fd4447b87c26e4e3674390e4b	712	False
db36f354ea8478332a7a158231eea3a3	286	False
7d836ec80f2d07f6da943f1ae04513e2	244	False
a207613069098286ab790846ed4e4a94	231	False
2f437178837301bff5355991233722b9	224	False
20f7fb21d27576a851e22b5870a8b7f8	223	False
d2f83f086dfe027bfaca78cda5acddc6	222	False
a8716eda02c37cdbc07952a225eeb080	221	False
f844ce1f5ad1479261e5fb0b2f309320	221	False
093735d8b9ca53639c9cf76ae60962cd	221	False
d2747eaee1fc30bbad803ffb667e0be6	221	False
